,target
2,1
3,1
17,1
18,1
19,1
27,1
33,1
37,1
47,1
63,1
68,1
70,1
77,1
78,1
84,1
93,1
97,1
102,1
106,1
108,1
109,1
119,1
121,1
123,1
126,1
138,1
139,1
140,1
144,1
145,1
146,1
148,1
164,1
170,1
179,1
182,1
188,1
192,1
198,1
207,1
214,1
215,1
217,1
220,1
225,1
227,1
235,1
238,1
244,1
247,1
255,1
265,1
268,1
281,1
283,1
284,1
286,1
287,1
288,1
301,1
303,1
304,1
310,1
311,1
313,1
317,1
319,1
326,1
327,1
332,1
334,1
339,1
346,1
347,1
349,1
354,1
358,1
359,1
360,1
366,1
381,1
385,1
387,1
392,1
393,1
395,1
396,1
400,1
404,1
408,1
415,1
422,1
423,1
430,1
433,1
439,1
447,1
451,1
452,1
454,1
455,1
459,1
464,1
466,1
468,1
473,1
477,1
482,1
486,1
487,1
488,1
492,1
495,1
499,1
502,1
514,1
524,1
526,1
530,1
535,1
536,1
542,1
544,1
549,1
552,1
554,1
556,1
559,1
561,1
567,1
574,1
577,1
582,1
597,1
599,1
602,1
605,1
609,1
610,1
615,1
616,1
624,1
626,1
627,1
631,1
634,1
643,1
649,1
653,1
656,1
660,1
662,1
663,1
665,1
671,1
672,1
673,1
674,1
679,1
681,1
689,1
693,1
695,1
697,1
708,1
711,1
713,1
714,1
717,1
720,1
727,1
735,1
736,1
738,1
741,1
742,1
750,1
760,1
762,1
767,1
770,1
786,1
788,1
792,1
798,1
799,1
806,1
819,1
834,1
835,1
842,1
850,1
852,1
855,1
873,1
875,1
886,1
888,1
889,1
893,1
894,1
896,1
905,1
910,1
911,1
921,1
923,1
924,1
928,1
929,1
938,1
941,1
942,1
945,1
950,1
960,1
961,1
965,1
966,1
970,1
972,1
973,1
981,1
984,1
987,1
997,1
1007,1
1020,1
1023,1
1052,1
1053,1
1055,1
1059,1
1060,1
1061,1
1064,1
1065,1
1067,1
1073,1
1092,1
1093,1
1094,1
1103,1
1110,1
1116,1
1117,1
1119,1
1120,1
1123,1
1143,1
1146,1
1155,1
1158,1
1159,1
1161,1
1172,1
1173,1
1175,1
1180,1
1181,1
1187,1
1189,1
1194,1
1197,1
1199,1
1204,1
1205,1
1207,1
1212,1
1214,1
1215,1
1216,1
1218,1
1229,1
1235,1
1243,1
1246,1
1247,1
1252,1
1253,1
1255,1
1267,1
1271,1
1275,1
1276,1
1279,1
1291,1
1305,1
1308,1
1316,1
1320,1
1326,1
1331,1
1337,1
1338,1
1342,1
1347,1
1351,1
1355,1
1368,1
1387,1
